,class_number,is_rong,is_new,is_active,online_dur,cust_age,sex,offer_type,month_charge,arpu,avg_flow,month_flow,flow_trend,trmnl_kind,thrmonth_avgarpu,arpu_trend,trmnl_month,is_contract,agr_exp_date,callll_dur,calling_dur,called_dur,roamcall_dur,call_dur_avg,calling_dur_avg,called_dur_avg,roamcall_dur_avg,thrmon_call_trend,thrmon_calling_trend,thrmon_called_trend,thrmon_roamcall_trend,calling_flow,is_zeroflow,is_highflow,is_flow_over,flow_rate,predict,target,prob
843,0,0,0,1,35,64,1,0,4611,1140,0.0,0.0,0.0,0,1140.0,1.0,131,0,23800,208.3,20.3,188.0,0.0,235.3,47.3,0.0,0.0,0.8852528690000001,0.429175476,0.0,0.0,0.09745559300000001,1,0,0,0.0,0,0,[9.99906498e-01 9.35018526e-05]
831,0,2,0,1,36,42,0,0,13496,4968,0.0,0.0,0.0,2,4788.0,1.037593985,113,0,23800,425.3,336.3,89.0,0.0,479.3,385.3,0.0,0.0,0.887335698,0.8728263690000001,0.0,0.0,0.7907359509999999,1,0,0,0.0,0,0,[0.95848744 0.04151256]
438,0,2,0,1,41,43,1,0,15953,9720,113.2622309,339.78669260000004,3.0,2,10458.66667,0.9293727690000001,115,0,23800,1478.0,57.0,84.0,1337.0,1529.0,66.0,126.0,0.0,0.966644866,0.8636363640000001,0.666666667,0.0,0.038565629,0,0,0,0.849562988,0,0,[0.9910857 0.0089143]
413,1,0,0,1,42,35,0,0,29278,15692,531.3230103999999,1593.969031,3.0,2,6497.333333,2.415144675,117,0,23800,5099.0,94.0,86.0,3711.0,5250.0,183.0,148.0,0.0,0.971238095,0.513661202,0.581081081,0.0,0.018434987,0,0,1,2.0,0,0,[0.99849325 0.00150675]
708,0,0,0,1,28,49,1,0,6078,1140,3.336182276,9.998962402,2.9971271269999997,1,1576.0,0.7233502540000001,474,0,23800,2634.1,11.1,95.0,0.0,2888.6,93.3,264.3,0.0,0.911895036,0.118971061,0.35944003,0.0,0.004213963,0,0,0,0.502050781,0,0,[9.99488157e-01 5.11843052e-04]
884,0,0,0,1,42,52,0,0,25355,18536,45.30142816,135.2617264,2.985815942,2,12345.33333,1.501458041,271,0,-18,6710.7,302.0,241.7,6454.9,7638.2,718.6,726.6,6620.1,0.878570867,0.42026162,0.332645197,0.9750456940000001,0.045002757000000004,0,0,1,2.0,0,0,[0.96820614 0.03179386]
713,0,0,0,1,44,49,0,0,8799,8039,167.9033578,477.7492151000001,2.845382137,2,7440.333333,1.080462345,324,0,23800,5330.7,22.1,32.6,5329.7,5853.9,44.3,78.6,5850.9,0.9106236870000001,0.49887133200000006,0.41475827,0.910919688,0.0041457970000000005,0,0,1,1.194682617,0,0,[0.99894632 0.00105368]
679,0,0,0,1,35,19,1,0,2957,3350,250.29288640000001,692.1914616,2.765525906,2,2433.666667,1.376523764,119,0,23800,6135.0,6.0,0.0,6072.0,6692.3,8.3,0.0,0.0,0.916725192,0.7228915659999999,0.0,0.0,0.000977995,0,1,1,2.0,0,0,[9.99804133e-01 1.95866612e-04]
478,0,0,0,1,31,27,1,0,9701,9020,454.1001517,1342.203434,2.955743197,2,6222.333333,1.449616971,112,0,23800,19551.5,86.8,59.7,19550.5,20431.8,108.3,70.5,20410.8,0.9569152009999999,0.801477378,0.846808511,0.957850746,0.004439557,0,1,1,1.67784668,0,0,[0.99491529 0.00508471]
246,0,0,0,1,32,49,1,0,2011,1257,24.65375868,73.96127605,3.0,2,1179.0,1.066157761,144,0,23800,763.2,5.2,0.0,762.2,765.2,7.2,0.0,0.0,0.9973863040000001,0.7222222220000001,0.0,0.0,0.0068134169999999996,0,0,1,1.065234375,0,0,[0.99881388 0.00118612]
